,Rank,name,YOB,Country,Total Points,Height,Weight,Languages,Sponsors,Twitter,race_starts,race_finishes,finish_percentage,race_wins,race_podiums,race_podium_percentage,race_wins_percentage,Agebucket
34,35,Rodrigo Gonzalez,1989,MEX,2344.01,180.0,69.0,,"ASICS, GARMIN, BMC, Scicon, Mako, Veratrix, Amstel Ultra",rodrigogogon,122,120,98,13,23,19,11.0,"(1988.0, 1991.0]"
35,36,Alex Yee,1998,GBR,2332.87,,,,,,22,21,95,3,7,32,14.0,"(1997.0, 2000.0]"
36,37,Ryan Bailie,1990,AUS,2331.55,177.0,61.0,English,"Deda, Swozzi, Asics, Oakley, Regna, Triathlon Australia, AIS, ",OfficialBailie,91,91,100,1,7,8,1.0,"(1988.0, 1991.0]"
37,38,Justus Nieschlag,1992,GER,2220.72,,,,,JustusNieschlag,60,60,100,6,11,18,10.0,"(1991.0, 1994.0]"
38,39,Felix Duchampt,1989,ROU,2155.04,,,,,,77,77,100,7,18,23,9.0,"(1988.0, 1991.0]"
39,40,Irving Perez,1986,MEX,2116.01,175.0,64.0,,,IrvingPerezp,120,119,99,9,23,19,8.0,"(1985.0, 1988.0]"
40,41,Simon Viain,1993,FRA,2091.87,175.0,60.0,,,,74,74,100,0,6,8,0.0,"(1991.0, 1994.0]"
41,42,Samuel Dickinson,1997,GBR,2086.51,,,,,,31,30,97,7,13,42,23.0,"(1994.0, 1997.0]"
42,43,Takumi Hojo,1996,JPN,2082.75,172.0,62.0,Japanese,博慈会、NTT東日本・NTT西日本,,38,38,100,7,11,28,18.0,"(1994.0, 1997.0]"
43,44,Matthew Hauser,1998,AUS,2072.14,,,,,,31,31,100,14,16,52,45.0,"(1997.0, 2000.0]"
44,45,Manoel Messias,1996,BRA,2068.71,,,,,,60,60,100,18,25,42,30.0,"(1994.0, 1997.0]"
45,46,Lasse Lührs,1996,GER,2057.1,,,,,,49,49,100,3,4,8,6.0,"(1994.0, 1997.0]"
